Game,MS_Store_Link,ProductID
Sacred Citadel,https://www.xbox.com/en-us/games/store/Sacred-Citadel/C52K72Q65KGK,C52K72Q65KGK
Zheros,https://www.xbox.com/en-us/games/store/ZHEROS/C549DRBSH9B7,C549DRBSH9B7
Deus Ex: Human Revolution,Not Found,N/A
Killer Instinct Season 1 Ultra Edition,https://www.xbox.com/en-us/games/store/Killer-Instinct-SUPREME-EDITION/BP97519KZH1Q,BP97519KZH1Q
DiRT Showdown,https://www.xbox.com/en-us/games/store/DiRT-Showdown/C1DZCGD41PQK,C1DZCGD41PQK
Thief,https://www.xbox.com/en-us/games/store/Thief-Simulator/9N4ZQPM20W8F,9N4ZQPM20W8F
Sacred 3,https://www.xbox.com/en-us/games/store/sacred-3/bqjnkmzjxzc4,bqjnkmzjxzc4
Operation Flashpoint: Dragon Rising,https://www.xbox.com/en-us/games/store/OF-Dragon-Rising/C051SCLQ3W25,C051SCLQ3W25
The Incredible Adventures of Van Helsing,https://www.xbox.com/en-us/games/store/The-Incredible-Adventures-of-Van-Helsing-Complete-Trilogy/9PCR29CD9PC4,9PCR29CD9PC4
CastleStorm,https://www.xbox.com/en-us/games/store/CastleStorm-Definitive-Edition/BP3M4THZP6GG,BP3M4THZP6GG
Knight Squad,https://www.xbox.com/en-us/games/store/Knight-Squad/BQ9C40MT0WWK,BQ9C40MT0WWK
Dungeon Siege III,https://www.xbox.com/en-us/games/store/Dungeon-Siege-III/C47G7K9NWRRJ,C47G7K9NWRRJ
Pneuma: Breath of Life,https://www.xbox.com/en-us/games/store/Pneuma-Breath-of-Life/C0D102LM66W5,C0D102LM66W5
DiRT 3,https://www.xbox.com/en-us/games/store/DiRT-3/BWXNH3DZMWVK,BWXNH3DZMWVK
The Walking Dead: The Complete First Season,https://www.xbox.com/en-us/games/store/the-walking-dead-season-1/9nblggh4vxrw,9nblggh4vxrw
The Walking Dead: The Complete First Season,Not Found,N/A
Valiant Hearts: The Great War,https://www.xbox.com/en-us/games/store/Valiant-Hearts-The-Great-War/C0X15TR4NP0B,C0X15TR4NP0B
Metal Gear Solid V: Ground Zeroes,https://www.xbox.com/en-us/games/store/METAL-GEAR-SOLID-V-GROUND-ZEROES/C1TVFVT36HVN,C1TVFVT36HVN
Tomb Raider: Definitive Edition,https://www.xbox.com/en-us/games/store/Tomb-Raider-Definitive-Edition/BQXTS0SX4W0N,BQXTS0SX4W0N
Crysis 3,https://www.xbox.com/en-us/games/store/Crysis-3-Remastered/9PHV85PRZL7N,9PHV85PRZL7N
The Deer God,https://www.xbox.com/en-us/games/store/The-Deer-God/C4DQXWTP8SS4,C4DQXWTP8SS4
Battlestations: Pacific,https://www.xbox.com/en-us/games/store/Battlestations-Pacific-Carrier-Battles-Map-Pack/BPWTF68MS5N9,BPWTF68MS5N9
How To Survive: Storm Warning Edition,https://www.xbox.com/en-us/games/store/How-to-Survive-Storm-Warning-Edition/C3K1HT81Z3QC,C3K1HT81Z3QC
Metro: Last Light,https://www.xbox.com/en-us/games/store/Metro-Last-Light-Redux/C03J6WR23XQ9,C03J6WR23XQ9
Metal Gear Solid V: Ground Zeroes,https://www.xbox.com/en-us/games/store/METAL-GEAR-SOLID-V-GROUND-ZEROES/C1TVFVT36HVN,C1TVFVT36HVN
Metro 2033,https://www.xbox.com/en-us/games/store/Metro-2033-Redux/9NQ387M27TMV,9NQ387M27TMV
So Many Me,https://www.xbox.com/en-us/games/store/So-Many-Me/BZ85PVXH4JLF,BZ85PVXH4JLF
Gears of War 3,https://www.xbox.com/en-us/games/store/Gears-of-War-3/BPKDQSSFQ9WV,BPKDQSSFQ9WV
Assassin's Creed IV: Black Flag,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag/BRKMHZX1RCF2,BRKMHZX1RCF2
Plants vs. Zombies,https://www.xbox.com/en-us/games/store/Plants-vs-Zombies/BR1D9CR82ZM8,BR1D9CR82ZM8
Massive Chalice,https://www.xbox.com/en-us/games/store/MASSIVE-CHALICE/C2484ZR2BWNQ,C2484ZR2BWNQ
Thief,https://www.xbox.com/en-us/games/store/Thief-Simulator/9N4ZQPM20W8F,9N4ZQPM20W8F
Pool Nation FX,https://www.xbox.com/en-us/games/store/Pool-Nation-FX/BPQM748J3LLT,BPQM748J3LLT
Just Cause 2,https://www.xbox.com/en-us/games/store/Just-Cause-2/C2SFHTW47D94,C2SFHTW47D94
F1 2013,Not Found,N/A
CastleStorm: Definitive Edition,https://www.xbox.com/en-us/games/store/CastleStorm-Definitive-Edition/BP3M4THZP6GG,BP3M4THZP6GG
Mafia II,https://www.xbox.com/en-us/games/store/Mafia-II-Definitive-Edition/9N000033SQDR,9N000033SQDR
Assassin's Creed IV: Black Flag,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag/BRKMHZX1RCF2,BRKMHZX1RCF2
Army of Two: The Devil's Cartel,Not Found,N/A
Child of Light,https://www.xbox.com/en-us/games/store/Child-of-Light/BQ9Q620NC614,BQ9Q620NC614
Rayman Legends,https://www.xbox.com/en-us/games/store/Rayman-Legends/C26K4DVGR45B,C26K4DVGR45B
Gears of War: Judgment,Not Found,N/A
Terraria,https://www.xbox.com/en-us/games/store/Terraria/BTNPS60N3114,BTNPS60N3114
BioShock Infinite,https://www.xbox.com/en-us/games/store/BioShock-Infinite/C4XX6JL0N0DM,C4XX6JL0N0DM
#IDARB,https://www.xbox.com/en-us/games/store/IDARB/BZJH18QJVDVW,BZJH18QJVDVW
Tomb Raider,https://www.xbox.com/en-us/games/store/Tomb-Raider-Definitive-Edition/BQXTS0SX4W0N,BQXTS0SX4W0N
Sniper Elite V2,https://www.xbox.com/en-us/games/store/Sniper-Elite-V2-Remastered/9P2Z085BXSXD,9P2Z085BXSXD
Worms Battlegrounds,https://www.xbox.com/en-us/games/store/Worms-Battlegrounds/BSFCZ5066BLJ,BSFCZ5066BLJ
Brothers: A Tale of Two Sons,https://www.xbox.com/en-us/games/store/Brothers-a-Tale-of-Two-Sons/C4Q29CMJ31NX,C4Q29CMJ31NX
The Witcher 2: Assassins of Kings,Not Found,N/A
D4: Dark Dreams Don't Die,https://www.xbox.com/en-us/games/store/D4-Dark-Dreams-Dont-Die/BVGQMLJFSSZG,BVGQMLJFSSZG
MX vs. ATV Alive,https://www.xbox.com/en-us/games/store/mx-vs-atv-alive/9nqs7f51zlp3,9nqs7f51zlp3
SSX,https://www.xbox.com/en-us/games/store/SSX/BWK0Q0RQMH7V,BWK0Q0RQMH7V
Völgarr the Viking,Not Found,N/A
The Raven: Legacy of a Master Thief,Not Found,N/A
Red Faction: Guerrilla,https://www.xbox.com/en-us/games/store/Red-Faction-Guerrilla-Re-Mars-tered/C0QVR372HZ91,C0QVR372HZ91
Chariot,https://www.xbox.com/en-us/games/store/Chariot/C0C6BW2GB0GC,C0C6BW2GB0GC
Viva Piñata: Trouble in Paradise,https://www.xbox.com/en-us/games/store/Viva-Pinata-TIP/BS1NPTPJGD4G,BS1NPTPJGD4G
Darksiders II,https://www.xbox.com/en-us/games/store/Darksiders-II-Deathinitive-Edition/BSMX2D9V0C8B,BSMX2D9V0C8B
Crimson Dragon,https://www.xbox.com/en-us/games/store/Crimson-Dragon/BS7LQTHJGRM7,BS7LQTHJGRM7
Battlefield: Bad Company 2,https://www.xbox.com/en-us/games/store/Battlefield-Bad-Company-2/C0JN2J76L7C9,C0JN2J76L7C9
Halo: Reach,Not Found,N/A
Super Time Force,Not Found,N/A
Monaco: What's Yours Is Mine,https://www.xbox.com/en-us/games/store/Monaco-Whats-Yours-is-Mine/C1Z0M42RJ2C1,C1Z0M42RJ2C1
Dishonored,https://www.xbox.com/en-us/games/store/Dishonored-Definitive-Edition/C299QVC2BSJF,C299QVC2BSJF
Strike Suit Zero: Director's Cut,https://www.xbox.com/en-us/games/store/Strike-Suit-Zero-Directors-Cut/BV4V52XXVZJJ,BV4V52XXVZJJ
Motocross Madness,https://www.xbox.com/en-us/games/store/Motocross-Madness/C074HQ3DZ3BS,C074HQ3DZ3BS
BattleBlock Theater,https://www.xbox.com/en-us/games/store/BattleBlock-Theater/BQ30J3N2LPZX,BQ30J3N2LPZX
Guacamelee! Super Turbo Championship Edition,https://www.xbox.com/en-us/games/store/Guacamelee-Super-Turbo-Championship-Edition/BTX10NSL9P28,BTX10NSL9P28
Halo: Spartan Assault,https://www.xbox.com/en-us/games/store/Halo-Spartan-Assault/BV0K9LMLQ9W5,BV0K9LMLQ9W5
Max: The Curse of Brotherhood,https://www.xbox.com/en-us/games/store/Max-The-Curse-of-Brotherhood/C0SFCF4PBRSZ,C0SFCF4PBRSZ
Gotham City Impostors,Not Found,N/A
Charlie Murder,Not Found,N/A
