Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,Xbox / PC,Yes,Active,Nov 2025,,1.27,Dec 2014,10.92,74,5.0,Action-Adventure,,,,,,Active,Oct 2025,-1.33
Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,Xbox / PC,Yes,Active,Nov 2025,,1.27,Dec 2014,10.92,74,5.0,Action-Adventure,,,,,,Active,Oct 2025,-1.33
Voidtrain,https://www.xbox.com/en-us/games/store/voidtrain/9nqmvr9wl9fw,9nqmvr9wl9fw,Xbox / PC,Yes,Active,Nov 2025,,1.4,Nov 2025,0.0,,,Shooter,Exclusive,,,,,Active,Oct 2025,-1.2
Whiskerwood,https://www.xbox.com/en-us/games/store/whiskerwood-game-preview/9NM2T0DMP4XV,9NM2T0DMP4XV,PC,,Active,Nov 2025,,1.43,Nov 2025,0.0,,,Strategy,,,,,,TBD,,1.43
Pacific Drive,https://www.xbox.com/en-us/games/store/pacific-drive/9pnkg0wbl61w,9pnkg0wbl61w,Xbox / PC,Yes,Active,Oct 2025,,1.87,Feb 2024,1.67,79,20.0,Driving,Exclusive,,,,,Active,Oct 2025,-0.73
1000xResist,https://www.xbox.com/en-us/games/store/1000xresist/9npdn9r45jx4,9npdn9r45jx4,Xbox / PC,Yes,Active,Nov 2025,,1.5,May 2025,0.49,86,11.0,Action-Adventure,Exclusive,,,,,TBD,,1.5
Super Fantasy Kingdom (Game Preview),https://www.xbox.com/en-us/games/store/super-fantasy-kingdom-game-preview/9MZ8B96NDG1T,9MZ8B96NDG1T,PC,,Active,Oct 2025,,1.83,Oct 2025,0.0,,,Defense,,,,,,TBD,,1.83
Evil West,https://www.xbox.com/en-us/games/store/Evil-West/9MW581HCJPM6,9MW581HCJPM6,Xbox / PC,Yes,Active,Oct 2025,,1.93,Nov 2022,2.91,73,11.0,Shooter,,"Returning title: Joined 3/21/24, left 3/15/25",M,"Blood and Gore, Intense Violence, Strong Language",,Active,Oct 2025,-0.67
Keeper,https://www.xbox.com/en-us/games/store/keeper/9ncjwhhmvhr0,9ncjwhhmvhr0,Xbox / PC,Yes,Active,Oct 2025,,2.07,Oct 2025,0.0,,,Action-Adventure,Exclusive,,,,,TBD,,2.07
Moonsweeper,https://www.xbox.com/en-us/games/store/Microsoft-Minesweeper/9WZDNCRFHWCN,9WZDNCRFHWCN,Xbox / PC,Yes,Active,Oct 2025,,2.13,Jan 1983,42.79,,,,,Retro Classics: Atari 2600,,,,TBD,,2.13
Pax Dei,https://www.xbox.com/en-us/games/store/pax-dei/9PHGK0538TXM,9PHGK0538TXM,PC,,Active,Oct 2025,,2.1,Oct 2025,0.0,,,RPG,,,,,,TBD,,2.1
The Grinch: Christmas Adventures,https://www.xbox.com/en-us/games/store/the-grinch-christmas-adventures/9pdbv8r4tsnh,9pdbv8r4tsnh,Xbox / PC,Yes,Active,Oct 2025,,2.13,Oct 2023,2.01,68,3.0,Platformer,,,,,,TBD,,2.13
Baldur's Gate and Baldur's Gate II: Enhanced Editions,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5,PC,,Active,Oct 2025,,2.33,Oct 2019,5.98,72,76.0,RPG,,,,,,TBD,,2.33
Little Rocket Lab,https://www.xbox.com/en-us/games/store/little-rocket-lab/9n3m5d5zsw34,9n3m5d5zsw34,Xbox / PC,Yes,Active,Oct 2025,,2.37,Oct 2025,0.0,83,,Sandbox,,,,,,TBD,,2.37
Supermarket Simulator,https://www.xbox.com/en-us/games/store/supermarket-simulator/9nr0gcbsldw4,9nr0gcbsldw4,Xbox / PC,Yes,Active,Oct 2025,,2.37,Jun 2025,0.3,,,Simulation,,,,,,TBD,,2.37
Sopa: Tale of the Stolen Potato,https://www.xbox.com/en-us/games/store/sopa-tale-of-the-stolen-potato/9N221ZTFGQB0,9N221ZTFGQB0,Xbox / PC,Yes,Active,Oct 2025,,2.4,Oct 2025,0.0,79,3.0,Action-Adventure,,,,,,TBD,,2.4
Hogwarts Legacy,https://www.xbox.com/en-us/games/store/hogwarts-legacy/9MT5NJ5W7B8Z,9MT5NJ5W7B8Z,Xbox / PC,Yes,Active,Oct 2025,,2.6,Feb 2023,2.65,84,27.0,Action-Adventure,,Ubisoft games joining with price increase,,,,Active,Oct 2025,0.0
Assassin's Creed II,https://www.xbox.com/en-us/games/store/Assassins-Creed-II/BNVMH8NVCRCT,BNVMH8NVCRCT,PC,,Active,Oct 2025,,2.6,Nov 2009,15.87,90,19.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed II,https://www.xbox.com/en-us/games/store/Assassins-Creed-II/BNVMH8NVCRCT,BNVMH8NVCRCT,PC,,Active,Oct 2025,,2.6,Nov 2009,15.87,90,19.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed III: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-III-Remastered/BPMJ413V6BB2,BPMJ413V6BB2,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2019,6.51,72,15.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed IV Black Flag,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag/BRKMHZX1RCF2,BRKMHZX1RCF2,Xbox / PC,Yes,Active,Oct 2025,,2.6,Oct 2013,11.92,88,24.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed IV Black Flag: Freedom Cry,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag-Freedom-Cry/BVT23T7MDRQ8,BVT23T7MDRQ8,PC,,Active,Oct 2025,,2.6,Dec 2013,11.79,71,4.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Brotherhood,https://www.xbox.com/en-us/games/store/Assassins-Creed-Brotherhood/BTS5B1V6434S,BTS5B1V6434S,PC,,Active,Oct 2025,,2.6,Nov 2010,14.88,89,15.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Chronicles: China,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-China/BZQQ7HX8PZ05,BZQQ7HX8PZ05,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2015,10.44,69,6.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Chronicles: China,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-China/BZQQ7HX8PZ05,BZQQ7HX8PZ05,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2015,10.44,69,6.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jan 2016,9.72,63,6.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jan 2016,9.72,63,6.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Chronicles: Russia,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-Russia/BXQQQQ8HRBSF,BXQQQQ8HRBSF,Xbox / PC,Yes,Active,Oct 2025,,2.6,Feb 2016,9.64,62,7.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR,PC,,Active,Oct 2025,,2.6,Nov 2011,13.88,80,13.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR,PC,,Active,Oct 2025,,2.6,Nov 2011,13.88,80,13.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Rogue: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-Rogue-Remastered/BWT5L9P3L60X,BWT5L9P3L60X,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2018,7.53,71,11.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Syndicate,https://www.xbox.com/en-us/games/store/Assassins-Creed-Syndicate/BXVQ8M4J9HNM,BXVQ8M4J9HNM,Xbox / PC,Yes,Active,Oct 2025,,2.6,Oct 2015,9.94,76,19.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed Syndicate,https://www.xbox.com/en-us/games/store/Assassins-Creed-Syndicate/BXVQ8M4J9HNM,BXVQ8M4J9HNM,Xbox / PC,Yes,Active,Oct 2025,,2.6,Oct 2015,9.94,76,19.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Assassin's Creed: The Ezio Collection,https://www.xbox.com/en-us/games/store/Assassins-Creed-The-Ezio-Collection/BQ9S8ZKCT3Q7,BQ9S8ZKCT3Q7,Xbox,Yes,Active,Oct 2025,,2.6,Nov 2016,8.88,72,72.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Child of Light,Error,,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2014,11.42,82,11.0,RPG,,Ubisoft games joining with price increase,,,,TBD,,2.6
Child of Light,https://www.xbox.com/en-us/games/store/Child-of-Light/BQ9Q620NC614,BQ9Q620NC614,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2014,11.42,82,11.0,RPG,,Ubisoft games joining with price increase,,,,TBD,,2.6
Far Cry 3,Error,,Xbox / PC,Yes,Active,Oct 2025,,2.6,Dec 2012,12.83,88,16.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Hungry Shark World,https://www.xbox.com/en-us/games/store/Hungry-Shark-World/C3NHWKLR94M9,C3NHWKLR94M9,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jul 2018,7.21,58,8.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Monopoly (2024),https://www.xbox.com/en-us/games/store/new-monopoly/9p8h220g3s4p,9p8h220g3s4p,Xbox / PC,Yes,Active,Oct 2025,,2.6,Sep 2024,1.01,74,14.0,Board,,Ubisoft games joining with price increase,,,,TBD,,2.6
Prince of Persia: The Lost Crown,https://www.xbox.com/en-us/games/store/prince-of-persia-the-lost-crown-complete-edition/9pgmq7wtm74b,9pgmq7wtm74b,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jan 2024,1.7,86,17.0,Metroidvania,,Ubisoft games joining with price increase,,,,TBD,,2.6
Rabbids Invasion: The Interactive TV Show,https://www.xbox.com/en-us/games/store/Rabbids-Invasion-The-Interactive-TV-Show/BXZ0JDCPRV6C,BXZ0JDCPRV6C,Xbox,Yes,Active,Oct 2025,,2.6,Nov 2014,10.9,53,10.0,Party,,Ubisoft games joining with price increase,,,,TBD,,2.6
Rabbids: Party of Legends,https://www.xbox.com/en-us/games/store/rabbids-party-of-legends/9plf73ss7m6j,9plf73ss7m6j,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2022,3.25,69,3.0,Party,,Ubisoft games joining with price increase,,,,TBD,,2.6
Rayman Legends,https://www.xbox.com/en-us/games/store/Rayman-Legends/C26K4DVGR45B,C26K4DVGR45B,Xbox / PC,Yes,Active,Oct 2025,,2.6,Sep 2013,12.08,92,10.0,Platformer,,Ubisoft games joining with price increase,,,,TBD,,2.6
Rayman Legends,https://www.xbox.com/en-us/games/store/Rayman-Legends/C26K4DVGR45B,C26K4DVGR45B,Xbox / PC,Yes,Active,Oct 2025,,2.6,Sep 2013,12.08,92,10.0,Platformer,,Ubisoft games joining with price increase,,,,TBD,,2.6
Risk: Urban Assault,https://www.xbox.com/en-us/games/store/Risk-Urban-Assault/BTDRTXBKDBRR,BTDRTXBKDBRR,Xbox,Yes,Active,Oct 2025,,2.6,Aug 2016,9.16,61,4.0,Board,,Ubisoft games joining with price increase,,,,TBD,,2.6
Scott Pilgrim vs. The World: The Game,Error,,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jan 2021,4.71,79,5.0,Beat-'Em-Up,,Ubisoft games joining with price increase,,,,TBD,,2.6
Skull and Bones,Error,,Xbox / PC,Yes,Active,Oct 2025,,2.6,Feb 2024,1.63,59,32.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Starlink: Battle for Atlas,https://www.xbox.com/en-us/games/store/Starlink-Battle-for-Atlas/BT3KQ8HLLZ6K,BT3KQ8HLLZ6K,Xbox / PC,Yes,Active,Oct 2025,,2.6,Oct 2018,6.96,74,15.0,Simulation,,Ubisoft games joining with price increase,,,,TBD,,2.6
Steep,https://www.xbox.com/en-us/games/store/STEEP/C350VBGGCL6P,C350VBGGCL6P,Xbox / PC,Yes,Active,Oct 2025,,2.6,Nov 2016,8.84,71,12.0,Sports,,Ubisoft games joining with price increase,,,,TBD,,2.6
Steep,https://www.xbox.com/en-us/games/store/STEEP/C350VBGGCL6P,C350VBGGCL6P,Xbox / PC,Yes,Active,Oct 2025,,2.6,Nov 2016,8.84,71,12.0,Sports,,Ubisoft games joining with price increase,,,,TBD,,2.6
The Crew 2,https://www.xbox.com/en-us/games/store/The-Crew-2/BV05F8VT7JJ4,BV05F8VT7JJ4,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2018,7.26,64,21.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
The Settlers: New Allies,https://www.xbox.com/en-us/games/store/the-settlers-new-allies/9n4rm9dx29h1,9n4rm9dx29h1,Xbox / PC,Yes,Active,Oct 2025,,2.6,Feb 2023,2.62,54,35.0,Management,,Ubisoft games joining with price increase,,,,TBD,,2.6
Tom Clancy's Ghost Recon Breakpoint,https://www.xbox.com/en-us/games/store/Tom-Clancys-Ghost-Recon-Breakpoint-Deluxe-Edition/9N60PDBXC0MB,9N60PDBXC0MB,Xbox / PC,Yes,Active,Oct 2025,,2.6,Oct 2019,6.0,56,23.0,Shooter,,Ubisoft games joining with price increase,,,,TBD,,2.6
Tom Clancy's Rainbow Six: Extraction,https://www.xbox.com/en-us/games/store/tom-clancys-rainbow-six-extraction/9NK1FQJ1SMCB,9NK1FQJ1SMCB,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jan 2022,3.7,72,8.0,Shooter,,"Returning game: added 1/20/22, left 4/15/23. Ubisoft Connect launcher. Ubisoft games joining with price increase",M,"Blood, Drug Reference, Strong Language, Violence",,TBD,,2.6
Tom Clancy's The Division,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division/BRGPD72KHM3Q,BRGPD72KHM3Q,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2016,9.56,80,24.0,Shooter,,Ubisoft games joining with price increase,,,,TBD,,2.6
Tom Clancy's The Division,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division/BRGPD72KHM3Q,BRGPD72KHM3Q,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2016,9.56,80,24.0,Shooter,,Ubisoft games joining with price increase,,,,TBD,,2.6
Tom Clancy's The Division,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division/BRGPD72KHM3Q,BRGPD72KHM3Q,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2016,9.56,80,24.0,Shooter,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trackmania Turbo,https://www.xbox.com/en-us/games/store/Trackmania-Turbo/C3SQQG5Q6Z64,C3SQQG5Q6Z64,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2016,9.53,81,13.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trackmania Turbo,https://www.xbox.com/en-us/games/store/Trackmania-Turbo/C3SQQG5Q6Z64,C3SQQG5Q6Z64,Xbox / PC,Yes,Active,Oct 2025,,2.6,Mar 2016,9.53,81,13.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Transference,https://www.xbox.com/en-us/games/store/Transference/C0RNBFHQ7X96,C0RNBFHQ7X96,Xbox,Yes,Active,Oct 2025,,2.6,Sep 2018,7.04,71,2.0,Action-Adventure,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trials Fusion,https://www.xbox.com/en-us/games/store/Trials-Fusion/BVCRSR6XSDW5,BVCRSR6XSDW5,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2014,11.46,79,7.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trials Fusion,https://www.xbox.com/en-us/games/store/Trials-Fusion/BVCRSR6XSDW5,BVCRSR6XSDW5,Xbox / PC,Yes,Active,Oct 2025,,2.6,Apr 2014,11.46,79,7.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trials of the Blood Dragon,https://www.xbox.com/en-us/games/store/Trials-of-the-Blood-Dragon/BPPR6D5C2GLF,BPPR6D5C2GLF,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2016,9.3,55,3.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trials of the Blood Dragon,https://www.xbox.com/en-us/games/store/Trials-of-the-Blood-Dragon/BPPR6D5C2GLF,BPPR6D5C2GLF,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2016,9.3,55,3.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Trials Rising,https://www.xbox.com/en-us/games/store/trials-rising-standard-edition/bz9tjx1v2ns6,bz9tjx1v2ns6,Xbox / PC,Yes,Active,Oct 2025,,2.6,Feb 2019,6.6,79,18.0,Racing,,Ubisoft games joining with price increase,,,,TBD,,2.6
Uno,https://www.xbox.com/en-us/games/store/UNO/BNSDHDK45KBR,BNSDHDK45KBR,Xbox / PC,Yes,Active,Oct 2025,,2.6,May 2006,19.39,81,3.0,Board,,Ubisoft games joining with price increase,,,,TBD,,2.6
Valiant Hearts: The Great War,https://www.xbox.com/en-us/games/store/Valiant-Hearts-The-Great-War/C0X15TR4NP0B,C0X15TR4NP0B,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2014,11.27,77,7.0,Platformer,,Ubisoft games joining with price increase,,,,TBD,,2.6
Valiant Hearts: The Great War,https://www.xbox.com/en-us/games/store/Valiant-Hearts-The-Great-War/C0X15TR4NP0B,C0X15TR4NP0B,Xbox / PC,Yes,Active,Oct 2025,,2.6,Jun 2014,11.27,77,7.0,Platformer,,Ubisoft games joining with price increase,,,,TBD,,2.6
Wheel of Fortune,https://www.xbox.com/en-us/games/store/Wheel-Of-Fortune/BR76VBTV0NK0,BR76VBTV0NK0,Xbox,Yes,Active,Oct 2025,,2.6,Nov 2017,7.9,80,2.0,Trivia,,Ubisoft games joining with price increase,,,,TBD,,2.6
Zombi,https://www.xbox.com/en-us/games/store/ZOMBI/BR03N9C6Z9G6,BR03N9C6Z9G6,Xbox / PC,Yes,Active,Oct 2025,,2.6,Aug 2015,10.12,65,12.0,Survival,,Ubisoft games joining with price increase,,,,TBD,,2.6
Zombi,https://www.xbox.com/en-us/games/store/ZOMBI/BR03N9C6Z9G6,BR03N9C6Z9G6,Xbox / PC,Yes,Active,Oct 2025,,2.6,Aug 2015,10.12,65,12.0,Survival,,Ubisoft games joining with price increase,,,,TBD,,2.6
Lara Croft and the Guardian of Light,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Guardian-of-Light/BX7XFZ51XTW8,BX7XFZ51XTW8,Xbox / PC,Yes,Active,Sep 2025,,2.63,Feb 2015,10.59,84,7.0,Action-Adventure,,,,,,Active,Sep 2025,0.0
Lara Croft and the Guardian of Light,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Guardian-of-Light/BX7XFZ51XTW8,BX7XFZ51XTW8,Xbox / PC,Yes,Active,Sep 2025,,2.63,Feb 2015,10.59,84,7.0,Action-Adventure,,,,,,Active,Sep 2025,0.0
Lara Croft and the Guardian of Light,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Guardian-of-Light/BX7XFZ51XTW8,BX7XFZ51XTW8,Xbox / PC,Yes,Active,Sep 2025,,2.63,Feb 2015,10.59,84,7.0,Action-Adventure,,,,,,Active,Sep 2025,0.0
Peppa Pig: World Adventures,https://www.xbox.com/en-us/games/store/peppa-pig-world-adventures/9p0p58r3nqds,9p0p58r3nqds,Xbox / PC,Yes,Active,Sep 2025,,2.8,Mar 2023,2.52,72,2.0,Action-Adventure,Exclusive,,,,,Active,Sep 2025,0.0
Visions of Mana,https://www.xbox.com/en-us/games/store/visions-of-mana/9nj5wv40pd08,9nj5wv40pd08,Xbox / PC,Yes,Active,Sep 2025,,2.8,Aug 2024,1.07,75,29.0,RPG,Exclusive,,,,,Active,Sep 2025,0.0
SWORN,https://www.xbox.com/en-us/games/store/sworn-digital-deluxe-edition/9n2q1ncx7hvc,9n2q1ncx7hvc,Xbox / PC,Yes,Active,Sep 2025,,2.87,Sep 2025,0.0,,,RPG,Exclusive,,,,,Active,Oct 2025,0.27
ENDLESS Legend 2 (Game Preview),https://www.xbox.com/en-us/games/store/endless-legend-2-game-preview/9NQNRZG07H94,9NQNRZG07H94,PC,,Active,Sep 2025,,2.9,Sep 2025,0.0,,,Strategy,,,,,,TBD,,2.9
Hades,https://www.xbox.com/en-us/games/store/Hades/9P8DL6W0JBB8,9P8DL6W0JBB8,Xbox / PC,Touch Controls,Active,Sep 2025,,3.0,Dec 2018,6.78,94,21.0,Action / RPG,Optimized,"Game Pass Essential (10/1/25). Returning title: Joined 8/13/21, left 8/31/22",T,"Blood, Suggestive Themes, Alcohol Reference, Mild Language, Violence",,Active,Sep 2025,0.0
Frostpunk 2,https://www.xbox.com/en-us/games/store/frostpunk-2-deluxe-edition-upgrade/9NM5W016S01V,9NM5W016S01V,Xbox / PC,,Active,Sep 2025,,3.03,Sep 2024,1.0,85,12.0,Management,Exclusive,,,,,Active,Oct 2025,0.43
Wobbly Life,https://www.xbox.com/en-us/games/store/Wobbly-Life/9NS86BQ33SPX,9NS86BQ33SPX,Xbox / PC,Yes,Active,Sep 2025,,3.03,Aug 2025,0.05,80,3.0,Action-Adventure,Exclusive,,,,,Active,Sep 2025,0.0
Deep Rock Galactic: Survivor,https://www.xbox.com/en-us/games/store/deep-rock-galactic-survivor/9phgqprbbsxk,9phgqprbbsxk,Xbox / PC,Yes,Active,Sep 2025,,3.07,Sep 2025,0.0,,15.0,Shooter,Exclusive,,,,,Active,Oct 2025,0.47
RoadCraft,https://www.xbox.com/en-us/games/store/roadcraft/9n4j937wlfpz,9n4j937wlfpz,Xbox,Yes,Active,Sep 2025,,3.1,May 2025,0.32,77,51.0,Racing,Exclusive,,,,,Active,Sep 2025,0.0
Herdling,https://www.xbox.com/en-us/games/store/herdling/9NNHK7K8RV9C,9NNHK7K8RV9C,Xbox / PC,Yes,Active,Aug 2025,,3.93,Aug 2025,0.0,77,4.0,Action-Adventure,Exclusive,,,,,TBD,,3.93
The Rogue Prince of Persia,https://www.xbox.com/en-us/games/store/the-rogue-prince-of-persia/9p7m1vcxkqvd,9p7m1vcxkqvd,Xbox / PC,Yes,Active,Aug 2025,,3.97,Aug 2025,0.0,81,8.0,Platformer,,,,,,TBD,,3.97
Blacksmith Master,https://www.xbox.com/en-us/games/store/blacksmith-master-game-preview/9nmzh1kxltsb,9nmzh1kxltsb,PC,,Active,Aug 2025,,4.0,May 2025,0.26,,12.0,Tycoon,,,,,,Active,Oct 2025,1.4
Caesar III,https://www.xbox.com/en-us/games/store/Caesar-Empire-Wars-XBox/9NS76Q8J3FJV,9NS76Q8J3FJV,Xbox / PC,Yes,Active,Aug 2025,,4.17,Sep 1998,26.87,,,Strategy,,Retro Classics: Windows 9x,,,,Active,Aug 2025,0.0
Climber 5,https://www.xbox.com/en-us/games/store/climber-sky-is-the-limit/9mzkgmn35rm0,9mzkgmn35rm0,Xbox / PC,Yes,Active,Aug 2025,,4.17,Jan 1987,38.62,,,,,Retro Classics: Atari 2600,,,,Active,Aug 2025,0.0
Shootin' Gallery,https://www.xbox.com/en-us/games/store/gun-free-to-fire-shooting-games/9p4djqq8tf33,9p4djqq8tf33,Xbox / PC,Yes,Active,Aug 2025,,4.17,Jan 1982,43.62,,,,,Retro Classics: Atari 2600,,,,Active,Aug 2025,0.0
